name,text,sum_count
Glasgow Clyde College,Glasgow Clyde College,19114
Glasgow Clyde College,glasgow-clyde,11219
Glasgow Clyde College,Slavery Act Statement,3419
Glasgow Clyde College,International Students,2667
Glasgow Clyde College,Student Funding,2201
Glasgow Clyde College,Community Learning Development,2104
Glasgow Clyde College,Privacy Notice,2080
Glasgow Clyde College,Courses,1986
Glasgow Clyde College,Anniesland Campus,1492
Glasgow Clyde College,Venue Hire,1135
Katapult,public-private partnerships,1149
Katapult,Logo PTVT,763
Katapult,praktisch-aan-de,486
Katapult,High Tech Systems,474
Katapult,grey markers,383
Katapult,Impact study,383
Katapult,pink markers,383
Katapult,private partnerships,383
Katapult,professional education,383
Katapult,public-private-partnerships,383
Katapult,rapid change,383
Scottish Water,Help,11922
Scottish Water,Us,9425
Scottish Water,Views,6727
Scottish Water,Your-Area,4848
Scottish Water,Contact Us,4042
Scottish Water,Views-Listing,3269
Scottish Water,Images,2871
Scottish Water,Document-Hub,2853
Scottish Water,business,2452
Scottish Water,Current Service Updates,2124
STF Scottish Training Federation,SQA,2
STF Scottish Training Federation,assessments,1
STF Scottish Training Federation,centres,1
STF Scottish Training Federation,CEOs,1
STF Scottish Training Federation,employability programmes.The event runs,1
STF Scottish Training Federation,expectations,1
STF Scottish Training Federation,experiences,1
STF Scottish Training Federation,fancy job titles,1
STF Scottish Training Federation,free tickets,1
STF Scottish Training Federation,generosity of our member,1
STF Scottish Training Federation,great folk,1
STF Scottish Training Federation,guidance,1
STF Scottish Training Federation,https://t.co/S6HvI6cn9W  Just contact,1
STF Scottish Training Federation,lots,1
STF Scottish Training Federation,Minister,1
STF Scottish Training Federation,minutes,1
STF Scottish Training Federation,qualifications,1
STF Scottish Training Federation,Sept,1
STF Scottish Training Federation,September,1
STF Scottish Training Federation,skills,1
STF Scottish Training Federation,STF members,1
STF Scottish Training Federation,STF National Conference,1
STF Scottish Training Federation,Street League,1
STF Scottish Training Federation,survey,1
STF Scottish Training Federation,training,1
STF Scottish Training Federation,Wed,1
STF Scottish Training Federation,Wednesday,1
STF Scottish Training Federation,year’s STF Conference,1
